,background,skin,facial hair,eyes,outfit,hats,accessories
0,Blue Sky,Human,Black Beard,Round Glasses,Philosopher's Robe,Hippie,None
1,Purple City,Human,Shaolin Stache,Gangsta Shades,Hoodie,Tarboush,Regular Earring
2,Blue Sky,Human,Wizard Beard,Round Glasses,Philosopher's Robe,Hippie,None
3,Purple City,Human,Brown Beard,Gangsta Shades,Philosopher's Robe,Hippie,None
4,Toxic Air,Human,Brown Beard,Normal_Eyes,Buddhist Robe,Tarboush,None
5,Sahara Desert,Human,Black Beard,Gangsta Shades,Buddhist Robe,Mushy Hair,Face Paint
6,Beach,Human,Black Beard,Normal_Eyes,Jacket,Mushy Hair,None
7,Starry Nights,Human,Black Beard,3D Glasses,Buddhist Robe,Curvy Hair,None
8,Blue Sky,Human,Black Beard,Laser Eyes,Philosopher's Robe,Curvy Hair,None
9,Purple City,Zombie,Black Beard,Normal_Eyes,Pizza Shirt,Sombrero,Face Paint
10,Blue Buzz,Human,Black Beard,Normal_Eyes,Philosopher's Robe,Turban,None
11,Sahara Desert,Human,Dirty Beard,Round Glasses,Philosopher's Robe,Sensei Hat,None
12,Blue Sky,Human,Brown Beard,Round Glasses,Buddhist Robe,Mushy Hair,None
13,Blue Sky,Human,Chop Stache,Normal_Eyes,Jacket,Curvy Hair,None
14,Sahara Desert,Human,Black Beard,Round Glasses,Jacket,Viking Hat,None
15,Sahara Desert,Human,Chop Stache,Normal_Eyes,Jacket,Asssasin Cut,None
16,Blue Sky,Zombie,Black Beard,Normal_Eyes,Buddhist Robe,Hippie,None
17,Purple City,Zombie,Black Beard,3D Glasses,Pizza Shirt,Curvy Hair,None
18,Purple City,Zombie,Brown Beard,Normal_Eyes,Jacket,Sombrero,Face Paint
19,Desert Night,Zombie,Wizard Beard,Normal_Eyes,Pizza Shirt,Tarboush,Gold Chain
20,Beach,Human,Dirty Beard,Eye Patch,Philosopher's Robe,Hippie,None
21,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Mushy Hair,None
22,Toxic Air,Human,Brown Beard,Eye Patch,Hoodie,Viking Hat,None
23,Blue Sky,Human,Chop Stache,Normal_Eyes,Philosopher's Robe,Mushy Hair,None
24,Blue Sky,Human,Brown Beard,Normal_Eyes,Hoodie,Turban,None
25,Blue Sky,Human,Brown Beard,Laser Eyes,Buddhist Robe,Tarboush,None
26,City Rooftop,Human,Dirty Beard,Round Glasses,Pizza Shirt,Hippie,Gold Earring
