,background,skin,facial hair,eyes,outfit,hats,accessories
0,Purple City,Human,Black Beard,Normal_Eyes,Buddhist Robe,Tarboush,None
1,Purple City,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Curvy Hair,None
2,Blue Buzz,Human,Black Beard,Normal_Eyes,Pizza Shirt,Sensei Hat,None
3,Beach,Human,Wizard Beard,Round Glasses,Jacket,Turban,None
4,Sahara Desert,Human,Dirty Beard,Eye Patch,Jacket,Tarboush,Regular Earring
5,Purple City,Human,Chop Stache,Zombie Eyes,Assasin's Fit,Sheikh Hat,None
6,City Rooftop,Alien,Chop Stache,Round Glasses,Hoodie,Curvy Hair,None
7,Blue Buzz,Zombie,Black Beard,Round Glasses,Jacket,Mushy Hair,Gold Chain
8,Blue Sky,Human,Shaolin Stache,Gangsta Shades,Buddhist Robe,Hippie,None
9,Beach,Alien,Wizard Beard,Normal_Eyes,Celestial Fit,Mushy Hair,Face Paint
10,Blue Sky,Human,Brown Beard,Round Glasses,Hoodie,Mushy Hair,Face Paint
11,Hallucinations,Human,Black Beard,Round Glasses,Philosopher's Robe,Hippie,None
12,Desert Night,Human,Shaolin Stache,Gangsta Shades,Pizza Shirt,Mushy Hair,Regular Earring
13,Blue Sky,Human,Dirty Beard,Normal_Eyes,Native,Hippie,None
14,Sahara Desert,Human,Dirty Beard,Gangsta Shades,Celestial Fit,Turban,None
15,Blue Buzz,Human,Shaolin Stache,Normal_Eyes,Philosopher's Robe,Asssasin Cut,None
16,Blue Buzz,Human,Dirty Beard,Round Glasses,Jacket,Sombrero,None
17,Purple City,Human,Brown Beard,Normal_Eyes,Assasin's Fit,Hippie,Face Paint
18,Blue Buzz,Human,Wizard Beard,Gangsta Shades,Jacket,Mushy Hair,None
19,Toxic Air,Human,Black Beard,Normal_Eyes,Celestial Fit,Tarboush,None
20,City Rooftop,Human,Black Beard,Normal_Eyes,Assasin's Fit,Sheikh Hat,Face Paint
21,City Rooftop,Zombie,Dirty Beard,Zombie Eyes,Hoodie,Sheikh Hat,None
22,Sahara Desert,Zombie,Brown Beard,Zombie Eyes,Philosopher's Robe,Tarboush,None
23,Beach,Human,Brown Beard,Normal_Eyes,Pizza Shirt,Turban,None
24,Blue Sky,Human,Black Beard,Normal_Eyes,Hoodie,Mushy Hair,None
25,Toxic Air,Human,Brown Beard,Eye Patch,Jacket,Hippie,None
26,City Rooftop,Human,Brown Beard,Normal_Eyes,Hoodie,Curvy Hair,Regular Earring
27,City Rooftop,Human,Chop Stache,Eye Patch,Pizza Shirt,Asssasin Cut,Face Paint
28,Sahara Desert,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Hippie,Regular Earring
29,Desert Night,Human,Black Beard,Normal_Eyes,Philosopher's Robe,Viking Hat,None
30,Desert Night,Human,Wizard Beard,Normal_Eyes,Pizza Shirt,Tarboush,Face Paint
31,Blue Sky,Human,Black Beard,Normal_Eyes,Jacket,Asssasin Cut,None
32,Purple City,Human,Brown Beard,Normal_Eyes,Jacket,Mushy Hair,None
33,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Buddhist Robe,Tarboush,Gold Chain
34,Mountains,Alien,Dirty Beard,Normal_Eyes,Jacket,Hippie,Regular Earring
35,City Rooftop,Zombie,Chop Stache,Normal_Eyes,Jacket,Asssasin Cut,Face Paint
36,Toxic Air,Human,Brown Beard,Normal_Eyes,Celestial Fit,Hippie,None
37,City Rooftop,Human,Black Beard,Eye Patch,Buddhist Robe,Hippie,None
